[13/May/2020 18:55:12] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[13/May/2020 18:55:12] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 14:22:33] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 14:22:34] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:26:05] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:26:06] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:26:12] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:26:12] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:26:20] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:26:20] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:26:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:26:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:09] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:09] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:09] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:09] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:09] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:10] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:10] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:10] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:10] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:10] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:10] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:11] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:16] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:16] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:16] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:17] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:17] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:17] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:18] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:18] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:18] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:18] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:18] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:18] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:19] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:19] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:20] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:21] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:23] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:24] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:24] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:24] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:25] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:26] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:26] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:28] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:31] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:32] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:32] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:33] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
